,Title,Year,Varietal,Price,Region,Country,Score_WS,Score_RP,Score_W&S,Score_JH,Score_CG,Score_WE,Score_WW,Score_BH,Score_JS,Score_TP,Score_D,Score_V,Score_JD,ProfessionalRating,Professional,StarRating,numRater,Shopping_Link,Img_src
0,Caymus Napa Valley Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,79.99,Napa Valley,California,,,,,,,92,,,,,,,92,,4.4,59,https://www.wine.com/product/Caymus-Napa-Valley-Cabernet-Sauvignon-2016/434744,https://www.wine.com/product/images/fl_progressive/qw1t5dnidgv2jjyiatnb.jpg
1,Dom Perignon with Gift Box 2009,2009,Vintage Sparkling Wine,189.97,Champagne,France,96,,,,,,,,97,,96,,,96,,4.2,110,https://www.wine.com/product/Dom-Perignon-with-Gift-Box-2009/332599,https://www.wine.com/product/images/fl_progressive/332599.jpg
2,Ornellaia 2015,2015,Bordeaux Red Blends,219.99,Tuscany,Italy,97,,,,,,,,98,,,98,,98,,3.5,5,https://www.wine.com/product/Ornellaia-2015/405514,https://www.wine.com/product/images/fl_progressive/405514.jpg
3,Rombauer Chardonnay 2017,2017,Chardonnay,36.99,Carneros,California,,,,,,,91,,,,,,,91,,4.9,9,https://www.wine.com/product/Rombauer-Chardonnay-2017/500778,https://www.wine.com/product/images/fl_progressive/wpxkrgx7onirby1nvstj.jpg
4,Domaine de la Janasse Chateauneuf-du-Pape Cuvee Chaupin 2016,2016,Grenache,79.99,Rhone,France,95,97,,,,,,,95,,,,99,97,,0,0,https://www.wine.com/product/Domaine-de-la-Janasse-Chateauneuf-du-Pape-Cuvee-Chaupin-2016/506593,https://www.wine.com/product/images/fl_progressive/e9xeiemzcvnmkzp8crzd.jpg
5,Silver Oak Napa Valley Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,114.99,Napa Valley,California,,,,,,,94,,,,,,,94,,4.5,102,https://www.wine.com/product/Silver-Oak-Napa-Valley-Cabernet-Sauvignon-2013/391655,https://www.wine.com/product/images/fl_progressive/391655.jpg
6,Duckhorn Vineyards 90+ Point Wine Gift Set,,Mixed Collections,154.99,,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Duckhorn-Vineyards-90-Point-Wine-Gift-Set/112580,https://www.wine.com/product/images/fl_progressive/112580h.jpg
7,Tour Saint Christophe Les Terrasses de Saint Christophe 2014,2014,Bordeaux Red Blends,21.99,Bordeaux,France,,,,,,,92,,90,,95,,,92,,3.9,70,https://www.wine.com/product/Tour-Saint-Christophe-Les-Terrasses-de-Saint-Christophe-2014/359993,https://www.wine.com/product/images/fl_progressive/359993.jpg
8,Tua Rita Redigaffi Toscana 2015,2015,Merlot,299.99,Tuscany,Italy,95,97,,,,,99,,100,,98,,,98,,0,0,https://www.wine.com/product/Tua-Rita-Redigaffi-Toscana-2015/355789,https://www.wine.com/product/images/fl_progressive/355789.jpg
9,Duckhorn Napa Valley Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,64.99,Napa Valley,California,,,,,,90,93,,,,,,,92,,4.4,39,https://www.wine.com/product/Duckhorn-Napa-Valley-Cabernet-Sauvignon-2015/406915,https://www.wine.com/product/images/fl_progressive/406915.jpg
10,Joseph Phelps Insignia 2014 6 Pack OWC,2014,Mixed Collections,1200,Napa Valley,California,,97,,,,96,96,,97,,,,,97,,0,0,https://www.wine.com/product/Joseph-Phelps-Insignia-2014-6-Pack-OWC/395396,https://www.wine.com/product/images/fl_progressive/395396h.jpg
11,Dominus Estate 2015,2015,Bordeaux Red Blends,299.99,Napa Valley,California,,100,,,,,,,98,,,,,99,,4.4,18,https://www.wine.com/product/Dominus-Estate-2015/355670,https://www.wine.com/product/images/fl_progressive/355670.jpg
12,Scattered Peaks Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,34.99,Napa Valley,California,,,,,,,92,,,,97,,,95,,4,38,https://www.wine.com/product/Scattered-Peaks-Cabernet-Sauvignon-2015/356559,https://www.wine.com/product/images/fl_progressive/356559.jpg
13,Silver Oak Alexander Valley Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,74.99,Sonoma County,California,,,,,,,93,,,,,,,93,,4.1,21,https://www.wine.com/product/Silver-Oak-Alexander-Valley-Cabernet-Sauvignon-2014/498663,https://www.wine.com/product/images/fl_progressive/gpgmugpbf3l6is27kkcx.jpg
14,Chappellet Signature Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,54.99,Napa Valley,California,,93,,,,93,96,,93,,,,96,94,,4.2,63,https://www.wine.com/product/Chappellet-Signature-Cabernet-Sauvignon-2015/336504,https://www.wine.com/product/images/fl_progressive/336504.jpg
15,Veuve Clicquot Yellow Label Brut,,Non-Vintage Sparkling Wine,59.97,Champagne,France,90,,,,,,92,,,,,,,91,,4.4,390,https://www.wine.com/product/Veuve-Clicquot-Yellow-Label-Brut/528,https://www.wine.com/product/images/fl_progressive/528.jpg
16,La Rioja Alta Gran Reserva 904 Tinto 2009,2009,Tempranillo,64.99,Rioja,Spain,,95,,,,,,,97,,,,,96,,4.3,8,https://www.wine.com/product/La-Rioja-Alta-Gran-Reserva-904-Tinto-2009/423151,https://www.wine.com/product/images/fl_progressive/423151.jpg
17,Antinori Tignanello 2015,2015,Tuscan Blends,109,Tuscany,Italy,97,96,,,,,,,98,,,,,97,,4.4,26,https://www.wine.com/product/Antinori-Tignanello-2015/423033,https://www.wine.com/product/images/fl_progressive/423033.jpg
18,Kathryn Hall Cabernet Sauvignon 6-Pack + BONUS Book & Tasting Pass Exclusive,,Mixed Collections,949.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Kathryn-Hall-Cabernet-Sauvignon-6-Pack--BONUS-Book-and-Tasting-Pass-Exclusive/509325,https://www.wine.com/product/images/fl_progressive/bhz6kipthavjnyd32vkh.jpg
19,Hall Eighteen Seventy-Three Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,74.99,Napa Valley,California,,,,,,95,98,,,,,,,97,,4.6,22,https://www.wine.com/product/Hall-Eighteen-Seventy-Three-Cabernet-Sauvignon-2014/405545,https://www.wine.com/product/images/fl_progressive/3aaac426-79ca-4638-82f7-efca535ee9c3-0.jpg
20,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,119.99,Napa Valley,California,,95,,,,95,,,93,98,93,,,95,,4.4,26,https://www.wine.com/product/Robert-Mondavi-To-Kalon-Vineyard-Reserve-Cabernet-Sauvignon-2014/327526,https://www.wine.com/product/images/fl_progressive/327526.jpg
21,Quintessa 2015,2015,Cabernet Sauvignon,174.99,Napa Valley,California,,96,,,,,,,97,,,,,97,,0,0,https://www.wine.com/product/Quintessa-2015/485136,https://www.wine.com/product/images/fl_progressive/vtc75ikn4abxocfrdcpr.jpg
22,Caymus Special Selection Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,179.99,Napa Valley,California,91,,,,,90,93,,,,,,,91,,4.6,143,https://www.wine.com/product/Caymus-Special-Selection-Cabernet-Sauvignon-2014/226434,https://www.wine.com/product/images/fl_progressive/226434.jpg
23,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,19.99,Columbia Valley,Washington,,92,,,,90,,,,,,,,91,,4,30,https://www.wine.com/product/Chateau-Ste-Michelle-Cold-Creek-Vineyard-Cabernet-Sauvignon-2013/312709,https://www.wine.com/product/images/fl_progressive/312709.jpg
24,Silver Oak Trophy Reds Wine Gift Set,,Mixed Collections,139.99,,Other,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Silver-Oak-Trophy-Reds-Wine-Gift-Set/89224,https://www.wine.com/product/images/fl_progressive/89224h.jpg
25,90+ Point Red Wine Gift Set,,Mixed Collections,49.99,,Other,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/90-Point-Red-Wine-Gift-Set/120039,https://www.wine.com/product/images/fl_progressive/qxhkwitulofbyexwn3nm.jpg
26,Quinta do Crasto Douro Red Reserva Old Vines 2015,2015,Other Red Blends,39.99,,Portugal,94,94,,,,,,,,,,,,94,,0,0,https://www.wine.com/product/Quinta-do-Crasto-Douro-Red-Reserva-Old-Vines-2015/503144,https://www.wine.com/product/images/fl_progressive/xwznvvylvcivhqowm9kt.jpg
27,Raymond Reserve Selection Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,39.99,Napa Valley,California,92,91,,,,,,,91,,95,,91,92,,4.3,41,https://www.wine.com/product/Raymond-Reserve-Selection-Cabernet-Sauvignon-2015/349438,https://www.wine.com/product/images/fl_progressive/349438.jpg
