,Title,Title2,Price,StarRating,numRater,Shopping_Link,Img_src,Website
0,Caymus Napa Valley Cabernet Sauvignon 2016,"Caymus Cabernet, 2016",79.97,5.0,2.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/caymus-cabernet/p/187859750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h22/h95/11464121548830.png,Total Wine
1,Caymus Napa Valley Cabernet Sauvignon 2016,"Caymus Cabernet, 2016",99.97,4.9,14.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/caymus-cabernet/p/164328010?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hb8/hc7/9718557769758.png,Total Wine
2,Ornellaia 2015,"Ornellaia, 2015",224.97,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219357750?s=301&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
3,Ornellaia 2015,"Ornellaia, 2015",449.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219358015?s=920&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
4,Ornellaia Le Serre Nuove 2015,"Ornellaia, 2015",224.97,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219357750?s=301&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
5,Ornellaia Le Serre Nuove 2015,"Ornellaia, 2015",449.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219358015?s=920&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
6,Ornellaia (3 Liter Bottle) 2015,"Ornellaia, 2015",224.97,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219357750?s=301&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
7,Ornellaia (3 Liter Bottle) 2015,"Ornellaia, 2015",449.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219358015?s=920&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
8,Ornellaia (1.5 Liter Magnum) 2015,"Ornellaia, 2015",224.97,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219357750?s=301&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
9,Ornellaia (1.5 Liter Magnum) 2015,"Ornellaia, 2015",449.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219358015?s=920&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
10,Ornellaia (6 Liter Bottle) 2015,"Ornellaia, 2015",224.97,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219357750?s=301&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
11,Ornellaia (6 Liter Bottle) 2015,"Ornellaia, 2015",449.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/ornellaia/p/219358015?s=920&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
12,Silver Oak Napa Valley Cabernet Sauvignon 2013,"Silver Oak Cabernet Napa, 2013",124.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/75113750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hdf/h01/11311102427166.png,Total Wine
13,Silver Oak Napa Valley Cabernet Sauvignon 2013,"Silver Oak Cabernet Napa, 2013",249.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/19491015?s=303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h72/ha0/11167093587998.png,Total Wine
14,Silver Oak Napa Valley Cabernet Sauvignon 2013,"Silver Oak Cabernet Napa, 2013",1299.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/100579060?s=1703&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h2e/h66/11167101878302.png,Total Wine
15,Silver Oak Napa Valley Cabernet Sauvignon (1.5 Liter Magnum) 2013,"Silver Oak Cabernet Napa, 2013",124.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/75113750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hdf/h01/11311102427166.png,Total Wine
16,Silver Oak Napa Valley Cabernet Sauvignon (1.5 Liter Magnum) 2013,"Silver Oak Cabernet Napa, 2013",249.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/19491015?s=303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h72/ha0/11167093587998.png,Total Wine
17,Silver Oak Napa Valley Cabernet Sauvignon (1.5 Liter Magnum) 2013,"Silver Oak Cabernet Napa, 2013",1299.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/100579060?s=1703&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h2e/h66/11167101878302.png,Total Wine
18,Silver Oak Napa Valley Cabernet Sauvignon (3 Liter Bottle) 2013,"Silver Oak Cabernet Napa, 2013",124.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/75113750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hdf/h01/11311102427166.png,Total Wine
19,Silver Oak Napa Valley Cabernet Sauvignon (3 Liter Bottle) 2013,"Silver Oak Cabernet Napa, 2013",249.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/19491015?s=303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h72/ha0/11167093587998.png,Total Wine
20,Silver Oak Napa Valley Cabernet Sauvignon (3 Liter Bottle) 2013,"Silver Oak Cabernet Napa, 2013",1299.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/100579060?s=1703&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h2e/h66/11167101878302.png,Total Wine
21,Silver Oak Napa Valley Cabernet Sauvignon (6 Liter Bottle) 2013,"Silver Oak Cabernet Napa, 2013",124.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/75113750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hdf/h01/11311102427166.png,Total Wine
22,Silver Oak Napa Valley Cabernet Sauvignon (6 Liter Bottle) 2013,"Silver Oak Cabernet Napa, 2013",249.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/19491015?s=303&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h72/ha0/11167093587998.png,Total Wine
23,Silver Oak Napa Valley Cabernet Sauvignon (6 Liter Bottle) 2013,"Silver Oak Cabernet Napa, 2013",1299.97,5.0,1.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/silver-oak-cabernet-napa/p/100579060?s=1703&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h2e/h66/11167101878302.png,Total Wine
24,Duckhorn Napa Valley Cabernet Sauvignon 2015,"Duckhorn Cabernet Napa, 2015",54.99,4.8,5.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/duckhorn-cabernet-napa/p/3807750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h96/hd9/8813970128926.png,Total Wine
25,Duckhorn Napa Valley Cabernet Sauvignon (375ML half-bottle) 2015,"Duckhorn Cabernet Napa, 2015",54.99,4.8,5.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/duckhorn-cabernet-napa/p/3807750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h96/hd9/8813970128926.png,Total Wine
26,Joseph Phelps Insignia 2014 6 Pack OWC,"Joseph Phelps Insignia, 2014",249.99,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/joseph-phelps-insignia/p/195084750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hca/h87/11167464390686.png,Total Wine
27,Joseph Phelps Insignia 2014 6 Pack OWC,"Joseph Phelps Insignia, 2014",429.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/joseph-phelps-insignia/p/195084015?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h5c/hcb/11167467405342.png,Total Wine
28,Joseph Phelps Insignia 2014,"Joseph Phelps Insignia, 2014",249.99,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/joseph-phelps-insignia/p/195084750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hca/h87/11167464390686.png,Total Wine
29,Joseph Phelps Insignia 2014,"Joseph Phelps Insignia, 2014",429.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/joseph-phelps-insignia/p/195084015?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h5c/hcb/11167467405342.png,Total Wine
30,Joseph Phelps Insignia (1.5 Liter Magnum) 2014,"Joseph Phelps Insignia, 2014",249.99,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/joseph-phelps-insignia/p/195084750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hca/h87/11167464390686.png,Total Wine
31,Joseph Phelps Insignia (1.5 Liter Magnum) 2014,"Joseph Phelps Insignia, 2014",429.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/joseph-phelps-insignia/p/195084015?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h5c/hcb/11167467405342.png,Total Wine
32,Dominus Estate 2015,"Dominus, 2015",299.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/dominus/p/188893750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h61/he6/11413765160990.png,Total Wine
33,Dominus Estate 2015,"Dominus, 2015",649.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/dominus/p/188893015?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
34,Dominus Napanook Vineyard 2015,"Dominus, 2015",299.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/dominus/p/188893750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h61/he6/11413765160990.png,Total Wine
35,Dominus Napanook Vineyard 2015,"Dominus, 2015",649.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/dominus/p/188893015?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
36,Dominus Estate (1.5 Liter Magnum) 2015,"Dominus, 2015",299.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/dominus/p/188893750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h61/he6/11413765160990.png,Total Wine
37,Dominus Estate (1.5 Liter Magnum) 2015,"Dominus, 2015",649.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/dominus/p/188893015?s=205&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
